# # q/A,1000000.0x,2000000.0x,3000000.0x,4000000.0x,5000000.0x,6000000.0x,7000000.0x,8000000.0x,9000000.0x,10000000.0
# 
0.74187844,0.00000000,0.00000021,0.00000010,0.00000008,0.00000016,0.00000017,0.00000025,0.00000000,0.00000000,0.00000000
0.74929722,0.00000000,0.00000021,0.00000010,0.00000009,0.00000015,0.00000016,0.00000021,0.00000000,0.00000000,0.00000000
0.75671601,0.00000000,0.00000022,0.00000010,0.00000008,0.00000014,0.00000014,0.00000020,0.00000000,0.00000000,0.00000000
0.76413479,0.00000000,0.00000022,0.00000009,0.00000009,0.00000016,0.00000014,0.00000019,0.00000000,0.00000000,0.00000000
0.77155357,0.00000000,0.00000021,0.00000010,0.00000008,0.00000015,0.00000017,0.00000022,0.00000000,0.00000000,0.00000000
0.77897236,0.00000000,0.00000024,0.00000009,0.00000008,0.00000015,0.00000017,0.00000021,0.00000000,0.00000000,0.00000000
0.78639114,0.00000000,0.00000021,0.00000010,0.00000008,0.00000015,0.00000016,0.00000020,0.00000000,0.00000000,0.00000000
0.79380993,0.00000000,0.00000022,0.00000010,0.00000008,0.00000016,0.00000018,0.00000022,0.00000000,0.00000000,0.00000000
0.80122871,0.00000000,0.00000023,0.00000009,0.00000008,0.00000015,0.00000018,0.00000021,0.00000000,0.00000000,0.00000000
0.80864750,0.00000000,0.00000023,0.00000009,0.00000008,0.00000016,0.00000018,0.00000021,0.00000000,0.00000000,0.00000000
0.81606628,0.00000000,0.00000021,0.00000010,0.00000008,0.00000015,0.00000016,0.00000024,0.00000000,0.00000000,0.00000000
0.82348507,0.00000000,0.00000023,0.00000010,0.00000008,0.00000016,0.00000017,0.00000025,0.00000000,0.00000000,0.00000000
0.83090385,0.00000000,0.00000021,0.00000010,0.00000008,0.00000015,0.00000017,0.00000023,0.00000000,0.00000000,0.00000000
0.83832263,0.00000000,0.00000021,0.00000009,0.00000008,0.00000014,0.00000015,0.00000020,0.00000000,0.00000000,0.00000000
0.84574142,0.00000000,0.00000021,0.00000009,0.00000008,0.00000015,0.00000018,0.00000020,0.00000000,0.00000000,0.00000000
0.85316020,0.00000000,0.00000022,0.00000010,0.00000008,0.00000015,0.00000017,0.00000021,0.00000000,0.00000000,0.00000000
0.86057899,0.00000000,0.00000023,0.00000010,0.00000009,0.00000016,0.00000018,0.00000021,0.00000000,0.00000000,0.00000000
0.86799777,0.00000000,0.00000022,0.00000010,0.00000008,0.00000015,0.00000019,0.00000024,0.00000000,0.00000000,0.00000000
0.87541656,0.00000000,0.00000022,0.00000010,0.00000009,0.00000016,0.00000016,0.00000024,0.00000000,0.00000000,0.00000000
0.88283534,0.00000000,0.00000024,0.00000010,0.00000008,0.00000015,0.00000018,0.00000019,0.00000000,0.00000000,0.00000000
0.89025412,0.00000000,0.00000021,0.00000010,0.00000008,0.00000016,0.00000018,0.00000026,0.00000000,0.00000000,0.00000000
0.89767291,0.00000000,0.00000022,0.00000011,0.00000008,0.00000014,0.00000017,0.00000021,0.00000000,0.00000000,0.00000000
0.90509169,0.00000000,0.00000021,0.00000010,0.00000008,0.00000015,0.00000016,0.00000023,0.00000000,0.00000000,0.00000000
0.91251048,0.00000000,0.00000022,0.00000010,0.00000008,0.00000015,0.00000018,0.00000019,0.00000000,0.00000000,0.00000000
0.91992926,0.00000000,0.00000024,0.00000010,0.00000008,0.00000016,0.00000017,0.00000019,0.00000000,0.00000000,0.00000000
0.92734805,0.00000000,0.00000023,0.00000010,0.00000008,0.00000016,0.00000017,0.00000022,0.00000000,0.00000000,0.00000000
0.93476683,0.00000000,0.00000024,0.00000010,0.00000008,0.00000015,0.00000016,0.00000022,0.00000000,0.00000000,0.00000000
0.94218562,0.00000000,0.00000024,0.00000010,0.00000008,0.00000015,0.00000014,0.00000022,0.00000000,0.00000000,0.00000000
0.94960440,0.00000000,0.00000023,0.00000010,0.00000008,0.00000015,0.00000017,0.00000023,0.00000000,0.00000000,0.00000000
